archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\135 BPM - Paranoiko [1992].flac;LOSSLESS;87;17367;19088;1721;30.0;caída progresiva de 1.7 kHz desde 17.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Age Of Love - The Age Of Love (Jam & Spoon Watch Out For Stella Mix) [1992].flac;LOSSLESS;96;20307;21201;894;42.4;corte en 20.3 kHz con transición intermedia (894 Hz) pero sin silencio profundo debajo (caída de 42 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Al-Faris - Dschesiret El-Arab [1994].flac;LOSSLESS;98;19944;21597;1653;31.4;caída progresiva de 1.7 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Alien Factory - Tomorrow [1994].flac;LOSSLESS;94;16356;20690;4334;44.5;caída progresiva de 4.3 kHz desde 16.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\And One - Metalhammer [1991].flac;LOSSLESS;91;20032;20083;51;21.4;corte abrupto en 20.0 kHz pero con siseo/señal por encima (caída de solo 21 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\And One - Techno Man [1992].flac;LOSSLESS;98;17454;21568;4114;73.5;caída progresiva de 4.1 kHz desde 17.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Andromeda - Trip to Space [1993].flac;LOSSLESS;95;15139;20946;5807;27.5;caída progresiva de 5.8 kHz desde 15.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Art Of Trance - Octopus [1995].flac;LOSSLESS;91;20003;20130;127;19.8;corte abrupto en 20.0 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Aurora Borealis - The Milky Way [1994].flac;LOSSLESS;98;20243;21627;1384;54.2;caída progresiva de 1.4 kHz desde 20.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Baby Doc & The Dentist - Tales Of The Seraphim [1995].flac;LOSSLESS;98;20075;21518;1443;56.4;caída progresiva de 1.4 kHz desde 20.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Bassline Boys - Warbeat (Fick Fick Fraulein Blitz Krieg Mix) [1989].flac;LOSSLESS;93;14613;20596;5983;32.8;caída progresiva de 6.0 kHz desde 14.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
